"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-3P-A9WA","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"ATP6V1C2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,2,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"PDIA6_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LINC01954_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"KCNF1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"FLJ33534_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"C2orf50_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"PQLC3_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"ROCK2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,-1,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LINC00570_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"E2F6_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"GREB1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,-1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MIR4429_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"NTSR2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LPIN1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MIR4262_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MIR3681HG_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,2,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"TRIB2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MIR3125_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LOC100506474_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LINC00276_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,-1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"FAM84A_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"NBAS_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"DDX1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LINC01804_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,1,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MYCNOS_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MYCN_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"FAM49A_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"RAD51AP2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"VSNL1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"SMC6_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,1,1,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"GEN1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,1,1,1,1,1,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MSGN1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,1,1,1,1,1,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"KCNS3_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,-1,0,0,0,1,1,1,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"NT5C1B-RDH14_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,1,1,1,1,1,1,1
"RDH14_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,1,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,1,1,1,1,1,1,1
"NT5C1B_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,1,1,1,1,1,1,1
"MIR4757_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"OSR1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LINC00954_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"TTC32_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"WDR35_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"WDR35-DT_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"MATN3_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"LAPTM4A_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"SDC1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,2,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-2,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"PUM2_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,2,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"RHOB_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,-1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"HS1BP3-IT1_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"HS1BP3_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"GDF7_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"C2orf43_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,1,1,0,-1,1,1,1,1,1,1
"APOB_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"LINC01822_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"LINC01884_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"KLHL29_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,2,0,-1,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"ATAD2B_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,2,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"UBXN2A_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,2,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
"MFSD2B_CNA","cat","Molecular","Copy Number Alterations",1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,1,-1,0,1,0,1,1,1,0,-1,0,1,1,1,1,1,1,-1,1,0,1,0,1,0,1,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,2,0,0,0,-1,1,1,1,0,-1,1,1,1,1,1,1
